"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"258",12,"Nick Westbrook-Ikhine",MIA,"WR107","193","318","255.6","40.3","-"
"259",12,"Will Levis",TEN,"QB36","167","328","244.6","49.3","-"
"260",12,"Will Dissly",LAC,"TE40","204","340","258.7","50.8","-"
"261",12,"Sincere McCormick",LV,"RB76","200","308","251.5","38.8","-"
"262",12,"Keaton Mitchell",BAL,"RB77","191","326","272.2","38.6","-"
"263",12,"Calvin Austin III",PIT,"WR108","201","372","263.3","52.2","-"
"264",12,"Miles Sanders",DAL,"RB78","216","303","263.4","26.7","-"
"265",12,"Brandon Aubrey",DAL,"K2","175","294","241.4","26.0","-"
"266",12,"Tory Horton",FA,"WR109","197","281","226.9","21.4","-"
"267",12,"Will Shipley",PHI,"RB79","175","359","254.5","50.0","-"
"268",12,"Dameon Pierce",HOU,"RB80","219","347","268.9","37.8","-"
"269",12,"John Metchie III",HOU,"WR110","240","349","270.9","28.2","-"
"270",12,"Isaiah Davis",NYJ,"RB81","218","304","273.1","29.6","-"
"271",12,"Tre Tucker",LV,"WR111","250","341","274.0","28.5","-"
"272",12,"Kenneth Gainwell",PIT,"RB82","179","357","274.9","42.0","-"
"273",12,"Cam Akers",FA,"RB83","232","358","284.2","35.5","-"
"274",12,"Sean Tucker",TB,"RB84","200","299","256.4","29.3","-"
"275",12,"Younghoe Koo",ATL,"K3","222","298","256.8","21.8","-"
"276",12,"Elijah Mitchell",KC,"RB85","212","305","269.0","29.0","-"
"277",12,"Gus Edwards",FA,"RB86","202","341","270.6","45.2","-"
"278",12,"Malachi Corley",NYJ,"WR112","215","319","260.4","36.6","-"
"279",12,"Pittsburgh Steelers",PIT,"DST2","166","276","233.6","27.4","-"
"280",12,"Miami Dolphins",MIA,"DST3","170","302","251.1","35.9","-"
"281",12,"Alexander Mattison",MIA,"RB87","236","328","283.5","24.4","-"
"282",12,"Philadelphia Eagles",PHI,"DST4","227","275","236.9","14.8","-"
"283",12,"Justin Tucker",BAL,"K4","201","348","265.6","39.0","-"
"284",12,"Denver Broncos",DEN,"DST5","202","277","239.4","18.1","-"
"285",12,"Kyle Monangai",FA,"RB88","192","353","267.1","47.7","-"
"286",12,"Matt Gay",FA,"K5","249","289","267.9","13.0","-"
"287",12,"Baltimore Ravens",BAL,"DST6","181","281","242.0","26.9","-"
"288",12,"Tyler Higbee",LAR,"TE41","209","342","269.3","45.2","-"
"289",12,"Zamir White",LV,"RB89","216","345","288.2","32.2","-"
"290",12,"Washington Commanders",WAS,"DST7","209","309","259.9","26.8","-"
"291",12,"Tyler Conklin",LAC,"TE42","196","338","260.0","42.6","-"
"292",12,"Will Reichard",MIN,"K6","241","259","245.8","5.4","-"
"293",12,"Jake Moody",SF,"K7","245","293","260.4","15.1","-"
"294",12,"Dyami Brown",JAC,"WR113","173","357","260.6","55.0","-"
"295",12,"Chris Boswell",PIT,"K8","222","321","273.4","26.9","-"
"296",12,"Evan McPherson",CIN,"K9","234","291","262.3","18.0","-"
"297",13,"Tutu Atwell",LAR,"WR114","209","359","284.7","43.2","-"
"298",13,"Daniel Carlson",LV,"K10","234","319","275.2","24.2","-"
"299",13,"Oronde Gadsden II",FA,"TE43","185","362","236.8","55.8","-"
"300",13,"Tyler Bass",BUF,"K11","251","290","270.5","13.2","-"
"301",13,"Arizona Cardinals",ARI,"DST8","208","385","270.7","43.8","-"
"302",13,"Curtis Samuel",BUF,"WR115","180","360","258.9","43.8","-"
"303",13,"Atlanta Falcons",ATL,"DST9","242","387","274.6","40.8","-"
"304",13,"New Orleans Saints",NO,"DST10","220","340","262.0","46.0","-"
"305",13,"New England Patriots",NE,"DST11","171","342","263.7","50.6","-"
"306",13,"Chicago Bears",CHI,"DST12","190","383","265.3","49.4","-"
"307",13,"Ty Chandler",MIN,"RB90","255","357","296.8","28.9","-"
"308",13,"Blake Grupe",NO,"K12","243","303","266.0","19.7","-"
"309",13,"Ty Johnson",BUF,"RB91","192","345","290.6","35.5","-"
"310",13,"Raheim Sanders",FA,"RB92","184","324","269.2","43.6","-"
"311",13,"Kansas City Chiefs",KC,"DST13","201","325","270.6","33.9","-"
"312",13,"Demarcus Robinson",SF,"WR116","211","376","282.8","57.1","-"
"313",13,"Noah Brown",WAS,"WR117","237","331","271.0","28.9","-"
"314",13,"Jahan Dotson",PHI,"WR118","200","347","271.1","42.9","-"
"315",13,"Dallas Cowboys",DAL,"DST14","223","299","258.6","26.1","-"
"316",13,"Savion Williams",FA,"WR119","199","330","241.7","44.7","-"
"317",13,"Tahj Brooks",FA,"RB93","200","379","290.2","53.0","-"
"318",13,"Seattle Seahawks",SEA,"DST15","251","366","290.2","40.6","-"
"319",13,"Brashard Smith",FA,"RB94","185","276","225.2","31.2","-"
"320",13,"Kirk Cousins",ATL,"QB37","204","323","248.9","39.4","-"
"321",13,"Jalen Nailor",MIN,"WR120","227","360","281.9","49.5","-"
"322",13,"Jason Sanders",MIA,"K13","240","334","282.0","25.1","-"
"323",13,"Jake Elliott",PHI,"K14","248","368","282.1","32.6","-"
"324",13,"Dawson Knox",BUF,"TE44","188","340","282.4","54.6","-"
"325",13,"A.J. Dillon",PHI,"RB95","259","370","293.3","29.3","-"
"326",13,"Cameron Dicker",LAC,"K15","244","304","270.5","17.0","-"
"327",13,"Aidan O'Connell",LV,"QB38","236","383","295.9","49.8","-"
"328",13,"Jordan James",FA,"RB96","191","325","257.1","52.4","-"
"329",13,"Gunnar Helm",FA,"TE45","140","283","204.6","51.3","-"
"330",13,"Kyle Williams",FA,"WR121","119","385","207.0","93.6","-"
"331",13,"Green Bay Packers",GB,"DST16","235","317","277.6","24.1","-"
"332",13,"Ka'imi Fairbairn",HOU,"K16","237","337","277.9","30.2","-"
"333",13,"Joshua Karty",LAR,"K17","245","380","281.1","40.7","-"
"334",13,"Donovan Edwards",FA,"RB97","236","343","281.6","35.7","-"
"335",13,"Buffalo Bills",BUF,"DST17","153","325","248.2","52.5","-"
"336",13,"Jalin Hyatt",NYG,"WR122","247","363","297.0","37.0","-"
"337",13,"Terrance Ferguson",FA,"TE46","168","364","251.0","62.3","-"
"338",13,"LeQuint Allen Jr.",FA,"RB98","193","309","227.4","41.7","-"
"339",13,"San Francisco 49ers",SF,"DST18","198","293","258.0","35.3","-"
"340",13,"Minnesota Vikings",MIN,"DST19","226","379","291.3","43.0","-"
"341",13,"Houston Texans",HOU,"DST20","258","384","291.9","37.9","-"
"342",13,"Jarquez Hunter",FA,"RB99","173","374","259.2","76.0","-"
"343",13,"Chris Rodriguez Jr.",WAS,"RB100","281","346","304.9","19.8","-"
"344",13,"Los Angeles Chargers",LAC,"DST21","250","335","280.4","27.0","-"
"345",13,"New York Jets",NYJ,"DST22","224","284","263.0","21.6","-"
"346",13,"Erick All Jr.",CIN,"TE47","246","361","295.0","38.0","-"
"347",13,"Tennessee Titans",TEN,"DST23","250","412","300.0","56.0","-"
"348",13,"Wil Lutz",DEN,"K18","216","367","284.3","53.3","-"
"349",13,"Brandon McManus",GB,"K19","244","323","268.0","26.4","-"
"350",13,"Ray-Ray McCloud III",ATL,"WR123","171","305","243.6","47.6","-"
"351",13,"Greg Zuerlein",NYJ,"K20","256","321","286.6","19.5","-"
"352",14,"Tyler Shough",FA,"QB39","182","390","251.6","72.8","-"
"353",14,"Jaydon Blue",FA,"RB101","174","307","218.8","53.5","-"
"354",14,"AJ Barner",SEA,"TE48","220","386","292.7","55.4","-"
"355",14,"Jameis Winston",NYG,"QB40","220","345","292.9","47.3","-"
"356",14,"Cade Stover",HOU,"TE49","255","319","293.6","23.5","-"
"357",14,"Jake Bates",DET,"K21","200","290","254.8","30.6","-"
"358",14,"Marcus Yarns",FA,"RB102","172","303","255.6","44.9","-"
"359",14,"Cam Little",JAC,"K22","257","381","306.5","45.3","-"
"360",14,"Antwane Wells Jr.",FA,"WR124","225","316","256.4","31.0","-"
"361",14,"Tim Patrick",DET,"WR125","195","376","279.3","70.6","-"
"362",14,"Treylon Burks",TEN,"WR126","211","345","279.3","41.1","-"
"363",14,"Trey Palmer",TB,"WR127","239","344","283.7","34.3","-"
"364",14,"Tai Felton",FA,"WR128","181","367","263.6","74.1","-"
"365",14,"Tampa Bay Buccaneers",TB,"DST24","164","322","234.3","57.2","-"
"366",14,"Ricky White III",FA,"WR129","227","363","265.6","50.5","-"
"367",14,"Emanuel Wilson",GB,"RB103","240","289","266.0","16.8","-"
"368",14,"Nick Nash",FA,"WR130","191","365","269.4","57.7","-"
"369",14,"Samaje Perine",CIN,"RB104","268","387","315.5","40.3","-"
"370",14,"Jonathan Mingo",DAL,"WR131","236","334","290.5","33.7","-"
"371",14,"Theo Wease",FA,"WR132","232","349","271.0","43.6","-"
"372",14,"Jacob Cowing",SF,"WR133","264","383","305.7","42.8","-"
"373",14,"Pat Bryant",FA,"WR134","194","339","273.2","51.8","-"
"374",14,"Luke Schoonmaker",DAL,"TE50","268","350","307.6","30.2","-"
"375",14,"Woody Marks",FA,"RB105","217","347","277.0","44.7","-"
"376",14,"New York Giants",NYG,"DST25","273","411","314.1","52.3","-"
"377",14,"Cleveland Browns",CLE,"DST26","212","286","253.0","27.2","-"
"378",14,"Greg Dulcich",NYG,"TE51","205","334","282.0","45.5","-"
"379",14,"Chris Brooks",GB,"RB106","289","324","300.7","11.0","-"
"380",14,"Dylan Laube",LV,"RB107","241","309","284.4","24.5","-"
"381",14,"Joe Milton III",DAL,"QB41","168","381","285.4","70.4","-"
"382",14,"Devontez Walker",BAL,"WR135","283","316","303.0","11.8","-"
"383",14,"Las Vegas Raiders",LV,"DST27","270","389","304.2","44.4","-"
"384",14,"Greg Dortch",ARI,"WR136","270","362","308.7","37.9","-"
"385",14,"Gerald Everett",FA,"TE52","177","367","270.3","85.4","-"
"386",14,"Emari Demercado",ARI,"RB108","168","375","295.0","77.3","-"
"387",14,"Luke Lachey",FA,"TE53","258","360","296.8","35.0","-"
"388",14,"Detroit Lions",DET,"DST28","248","371","297.2","40.6","-"
"389",14,"Darnell Washington",PIT,"TE54","274","342","312.8","28.8","-"
"390",14,"KaVontae Turpin",DAL,"WR137","241","397","299.2","52.2","-"
"391",14,"Zay Jones",ARI,"WR138","212","354","301.4","51.8","-"
"392",14,"Indianapolis Colts",IND,"DST29","214","354","280.3","52.1","-"
"393",14,"Matt Prater",FA,"K23","193","380","284.8","67.8","-"
"394",14,"Quinn Ewers",FA,"QB42","185","326","249.7","58.1","-"
"395",14,"Chase McLaughlin",TB,"K24","217","388","308.6","63.6","-"
"396",14,"Dustin Hopkins",CLE,"K25","272","373","308.6","42.8","-"
"397",14,"Dont'e Thornton Jr.",FA,"WR139","211","321","254.7","47.7","-"
"398",14,"Jake Bobo",SEA,"WR140","171","389","289.3","78.0","-"
"399",14,"Ameer Abdullah",FA,"RB109","290","356","311.2","23.6","-"
"400",14,"Rasheen Ali",BAL,"RB110","270","369","311.8","32.8","-"
"401",14,"Jeremy Ruckert",NYJ,"TE55","255","391","325.2","41.0","-"
"402",14,"Austin Hooper",NE,"TE56","263","394","313.2","48.3","-"
"403",14,"Jelani Woods",IND,"TE57","280","337","313.0","22.5","-"
"404",14,"Jason Myers",SEA,"K26","273","372","313.4","39.9","-"
"405",14,"Kendrick Bourne",NE,"WR141","285","358","326.5","23.9","-"
"406",14,"Foster Moreau",NO,"TE58","264","399","337.9","40.7","-"
"407",14,"D'Onta Foreman",FA,"RB111","271","361","315.2","33.6","-"
"408",14,"Mason Rudolph",PIT,"QB43","261","380","315.8","47.4","-"
"409",14,"Eddy Pineiro",FA,"K27","266","382","319.0","51.8","-"
"410",14,"Marquez Valdes-Scantling",SEA,"WR142","195","317","272.3","54.9","-"
"411",14,"Cincinnati Bengals",CIN,"DST30","239","409","307.5","62.6","-"
"412",14,"Mack Hollins",NE,"WR143","242","315","275.0","30.2","-"
"413",15,"Pierre Strong Jr.",CLE,"RB112","280","340","307.0","22.4","-"
"414",15,"Isaac TeSlaa",FA,"WR144","243","333","280.3","38.3","-"
"415",15,"Clyde Edwards-Helaire",NO,"RB113","294","361","325.2","25.7","-"
"416",15,"Tyler Boyd",FA,"WR145","234","323","282.0","36.7","-"
"417",15,"Jaydn Ott",FA,"RB114","284","364","310.5","31.4","-"
"418",15,"Colby Parkinson",LAR,"TE59","284","368","327.0","29.7","-"
"419",15,"K.J. Osborn",WAS,"WR146","281","294","288.3","5.4","-"
"420",15,"Cairo Santos",CHI,"K28","278","404","332.0","51.3","-"
"421",15,"Ja'Quinden Jackson",FA,"RB115","266","306","291.0","17.8","-"
"422",15,"Israel Abanikanda",SF,"RB116","288","363","317.3","30.0","-"
"423",15,"Jalin Conyers",FA,"TE60","274","317","293.7","17.8","-"
"424",15,"Malik Willis",GB,"QB44","264","340","294.0","33.0","-"
"425",15,"A.T. Perry",DEN,"WR147","240","333","294.3","39.5","-"
"426",15,"Benjamin Yurosek",FA,"TE61","273","314","294.3","16.8","-"
"427",15,"Carson Steele",KC,"RB117","260","357","322.8","38.6","-"
"428",15,"Jacksonville Jaguars",JAC,"DST31","240","352","301.0","46.3","-"
"429",15,"Rondale Moore",MIN,"WR148","276","395","327.3","44.3","-"
"430",15,"Eric Gray",NYG,"RB118","273","323","305.0","22.7","-"
"431",15,"Spencer Rattler",NO,"QB45","272","334","305.7","25.6","-"
"432",15,"Deshaun Watson",CLE,"QB46","286","384","327.5","42.1","-"
"433",15,"Jared Wiley",KC,"TE62","312","364","340.2","20.0","-"
"434",15,"Jake Browning",CIN,"QB47","263","272","267.5","4.5","-"
"435",15,"Davis Allen",LAR,"TE63","245","356","309.0","46.9","-"
"436",15,"Kyle McCord",FA,"QB48","223","317","270.0","47.0","-"
"437",15,"Hayden Hurst",FA,"TE64","259","378","330.8","45.6","-"
"438",15,"Cooper Rush",BAL,"QB49","269","276","272.5","3.5","-"
"439",15,"Dillon Gabriel",FA,"QB50","222","413","320.0","78.1","-"
"440",15,"Graham Gano",NYG,"K29","259","405","317.7","63.0","-"
"441",15,"JuJu Smith-Schuster",KC,"WR149","268","396","335.3","45.4","-"
"442",15,"Kalel Mullings",FA,"RB119","246","309","277.5","31.5","-"
"443",15,"Gardner Minshew II",KC,"QB51","243","369","315.7","53.2","-"
"444",15,"Daniel Bellinger",NYG,"TE65","299","388","334.8","37.1","-"
"445",15,"Jeremy McNichols",WAS,"RB120","250","309","279.5","29.5","-"
"446",15,"Riley Leonard",FA,"QB52","225","337","281.0","56.0","-"
"447",15,"Tommy Tremble",CAR,"TE66","256","375","318.0","48.7","-"
"448",15,"Jacoby Brissett",ARI,"QB53","277","287","282.0","5.0","-"
"449",15,"Jamaal Williams",FA,"RB121","297","346","319.3","20.2","-"
"450",15,"Harrison Bryant",PHI,"TE67","297","332","319.3","15.8","-"
"451",15,"Deion Burks",FA,"WR150","253","321","287.0","34.0","-"
"452",15,"Ezekiel Elliott",FA,"RB122","298","357","321.7","25.5","-"
"453",15,"Mac Jones",SF,"QB54","265","376","322.7","45.4","-"
"454",15,"Sam Howell",SEA,"QB55","264","400","342.8","50.8","-"
"455",15,"Kalif Raymond",DET,"WR151","276","307","291.5","15.5","-"
"456",15,"Joe Flacco",CLE,"QB56","253","374","325.7","52.3","-"
"457",15,"Trey Sermon",FA,"RB123","281","366","325.7","34.8","-"
"458",15,"Carolina Panthers",CAR,"DST32","304","410","347.0","45.3","-"
"459",15,"Jake Briningstool",FA,"TE68","293","377","326.7","36.3","-"
"460",15,"Michael Carter",ARI,"RB124","295","392","352.6","33.1","-"
"461",15,"Cody Schrader",LAR,"RB125","274","317","295.5","21.5","-"
"462",15,"Jaheim Bell",NE,"TE69","283","359","328.0","32.6","-"
"463",15,"Evan Hull",PIT,"RB126","230","365","297.5","67.5","-"
"464",15,"Grant Calcaterra",PHI,"TE70","232","365","298.5","66.5","-"
"465",15,"Jaylin Lane",FA,"WR152","278","328","303.0","25.0","-"
"466",15,"Bub Means",NO,"WR153","273","379","334.0","44.7","-"
"467",15,"Van Jefferson",TEN,"WR154","304","398","336.7","43.4","-"
"468",15,"Jeff Wilson Jr.",FA,"RB127","301","356","335.7","24.6","-"
"469",15,"Kenny Pickett",CLE,"QB57","329","393","350.3","25.8","-"
"470",15,"Blake Watson",DEN,"RB128","251","367","309.0","58.0","-"
"471",15,"Deuce Vaughn",DAL,"RB129","317","370","336.3","23.9","-"
"472",15,"Brenden Rice",LAC,"WR155","305","314","309.5","4.5","-"
"473",15,"Desmond Ridder",FA,"QB58","329","351","337.7","9.6","-"
"474",15,"Odell Beckham Jr.",FA,"WR156","261","363","312.0","51.0","-"
"475",15,"Trey Lance",LAC,"QB59","285","339","312.0","27.0","-"
"476",15,"Isaiah Hodgins",SF,"WR157","270","355","312.5","42.5","-"
"477",15,"Josh Reynolds",NYJ,"WR158","272","356","314.0","42.0","-"
"478",15,"Phil Mafah",FA,"RB130","292","336","314.0","22.0","-"
"479",15,"Josh Oliver",MIN,"TE71","281","349","315.0","34.0","-"
"480",15,"Bo Melton",GB,"WR159","264","368","316.0","52.0","-"
"481",15,"Brevin Jordan",HOU,"TE72","333","347","341.3","6.0","-"
"482",15,"Kadarius Toney",FA,"WR160","279","355","317.0","38.0","-"
"483",15,"Allen Lazard",NYJ,"WR161","288","364","326.0","38.0","-"
"484",16,"Xavier Hutchinson",HOU,"WR162","302","355","328.5","26.5","-"
"485",16,"Hunter Long",JAC,"TE73","318","343","330.5","12.5","-"
"486",16,"Chad Ryland",ARI,"K30","271","408","339.5","68.5","-"
"487",16,"Tyler Huntley",FA,"QB60","326","338","332.0","6.0","-"
"488",16,"Donald Parham Jr.",PIT,"TE74","325","341","333.0","8.0","-"
"489",16,"Johnny Wilson",PHI,"WR163","308","402","356.3","38.4","-"
"490",16,"Raheem Blackshear",CAR,"RB131","316","353","334.5","18.5","-"
"491",16,"Sterling Shepard",TB,"WR164","330","341","335.5","5.5","-"
"492",16,"Greg Joseph",FA,"K31","297","406","360.0","46.1","-"
"493",16,"Cordarrelle Patterson",PIT,"RB132","295","381","338.0","43.0","-"
"494",16,"Tyler Scott",CHI,"WR165","311","366","338.5","27.5","-"
"495",16,"Zach Wilson",MIA,"QB61","335","401","360.0","29.2","-"
"496",16,"Nick Folk",FA,"K32","299","386","342.5","43.5","-"
"497",16,"Ainias Smith",PHI,"WR166","338","382","360.7","18.0","-"
"498",16,"Joey Slye",TEN,"K33","326","407","367.3","33.1","-"
"499",16,"Adam Trautman",DEN,"TE75","336","362","349.0","13.0","-"
"500",16,"Andy Dalton",CAR,"QB62","345","353","349.0","4.0","-"
"501",16,"Hendon Hooker",DET,"QB63","307","403","355.0","48.0","-"
"502",16,"Kylen Granson",PHI,"TE76","328","375","351.5","23.5","-"
"503",16,"Cole Turner",WAS,"TE77","345","367","356.0","11.0","-"
"504",16,"John Bates",WAS,"TE78","351","366","358.5","7.5","-"
"505",16,"Will Mallory",IND,"TE79","347","373","360.0","13.0","-"